City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Banda Aceh,ID,2021-11-07 06:37:38,5.5577,95.3222,81.79,79,98,4.32,overcast clouds
127,Tautira,PF,2021-11-07 06:41:00,-17.7333,-149.15,78.82,81,14,8.57,light rain
128,Gwembe,ZM,2021-11-07 06:46:15,-16.4975,27.6069,88.07,20,5,9.15,clear sky
129,Poplar Bluff,US,2021-11-07 06:46:15,36.757,-90.3929,40.78,100,1,0.0,clear sky
130,Kapaa,US,2021-11-07 06:37:28,22.0752,-159.319,76.98,81,90,10.36,light rain
131,Itoigawa,JP,2021-11-07 06:46:15,37.0333,137.85,60.73,73,0,9.95,clear sky
132,Erzin,TR,2021-11-07 06:46:16,36.9559,36.2,68.52,22,3,1.7,clear sky
133,Baykalsk,RU,2021-11-07 06:46:16,51.5058,104.1469,33.85,77,91,6.62,overcast clouds
134,Georgetown,MY,2021-11-07 06:37:24,5.4112,100.3354,89.55,71,20,1.01,few clouds
135,Morant Bay,JM,2021-11-07 06:46:16,17.8815,-76.4093,82.02,84,100,4.74,overcast clouds
136,Airai,TL,2021-11-07 06:37:33,-8.9266,125.4092,70.0,73,97,1.77,light rain
137,Altamira,BR,2021-11-07 06:46:17,-3.2033,-52.2064,71.29,96,100,2.24,overcast clouds
138,Syumsi,RU,2021-11-07 06:46:17,57.1111,51.6149,41.88,88,100,9.86,light rain
139,Tokur,RU,2021-11-07 06:46:17,53.1333,132.9,12.06,67,96,8.93,overcast clouds
140,Hermanus,ZA,2021-11-07 06:37:25,-34.4187,19.2345,62.91,62,100,6.06,overcast clouds
141,Westport,US,2021-11-07 06:46:18,41.1415,-73.3579,46.15,80,1,2.55,clear sky
142,Cabo San Lucas,MX,2021-11-07 06:37:50,22.8909,-109.9124,77.5,50,3,8.84,clear sky
143,Majene,ID,2021-11-07 06:46:18,-3.5403,118.9707,84.67,76,87,6.91,overcast clouds
144,Castro,BR,2021-11-07 06:38:19,-24.7911,-50.0119,61.81,98,98,5.5,overcast clouds
145,Rio Gallegos,AR,2021-11-07 06:46:19,-51.6226,-69.2181,48.25,81,90,3.44,light rain
146,Barrhead,GB,2021-11-07 06:39:25,55.7992,-4.3929,49.53,77,75,5.99,broken clouds
147,Saint George,US,2021-11-07 06:37:35,37.1041,-113.5841,67.35,32,1,1.99,clear sky
148,Lagoa,PT,2021-11-07 06:39:37,39.05,-27.9833,68.47,83,80,28.61,broken clouds
149,Gushikawa,JP,2021-11-07 06:46:20,26.3544,127.8686,80.19,63,1,23.02,clear sky
150,Kyzyl-Suu,KG,2021-11-07 06:46:20,42.3414,78.0056,32.16,71,3,1.59,clear sky
151,Touros,BR,2021-11-07 06:38:14,-5.1989,-35.4608,79.7,80,6,11.68,clear sky
152,Cockburn Town,TC,2021-11-07 06:39:36,21.4612,-71.1419,83.32,73,46,15.52,scattered clouds
153,Nangomba,TZ,2021-11-07 06:46:20,-10.9,38.5,89.94,37,100,4.05,overcast clouds
154,Lamar,US,2021-11-07 06:46:21,33.6668,-95.5836,48.52,86,1,5.75,clear sky
155,Alofi,NU,2021-11-07 06:38:22,-19.0595,-169.9187,76.89,83,95,11.5,overcast clouds
156,Peniche,PT,2021-11-07 06:46:21,39.3558,-9.3811,53.62,79,0,12.57,clear sky
157,Nordfjordeid,NO,2021-11-07 06:46:22,61.9063,5.9915,46.35,84,94,3.29,overcast clouds
158,Korhogo,CI,2021-11-07 06:39:01,9.45,-5.6333,73.56,84,9,3.4,clear sky
159,Kyra,RU,2021-11-07 06:46:22,49.5776,111.9753,28.04,38,17,6.67,few clouds
160,Shakiso,ET,2021-11-07 06:46:22,5.75,38.9167,63.57,84,100,1.61,light rain
161,Mutis,CO,2021-11-07 06:46:23,6.2262,-77.4044,77.31,88,86,4.27,moderate rain
162,Muros,ES,2021-11-07 06:37:46,42.7762,-9.0603,51.1,82,1,10.71,clear sky
163,Makakilo City,US,2021-11-07 06:40:24,21.3469,-158.0858,77.32,65,1,5.75,clear sky
164,Bubaque,GW,2021-11-07 06:39:18,11.2833,-15.8333,83.37,74,5,9.37,clear sky
165,Natal,BR,2021-11-07 06:46:00,-5.795,-35.2094,80.82,83,20,8.05,few clouds
166,Effingham,US,2021-11-07 06:46:24,32.3669,-81.3332,53.83,96,100,15.01,moderate rain
167,Avarua,CK,2021-11-07 06:37:32,-21.2078,-159.775,73.45,73,40,10.36,scattered clouds
168,Canavieiras,BR,2021-11-07 06:46:24,-15.675,-38.9472,71.62,95,100,5.26,overcast clouds
169,Kodiak,US,2021-11-07 06:38:31,57.79,-152.4072,30.02,69,15,8.93,few clouds
170,Biak,ID,2021-11-07 06:46:24,-0.9131,122.8766,82.76,77,99,3.31,light rain
171,Tasiilaq,GL,2021-11-07 06:37:34,65.6145,-37.6368,24.96,76,52,8.66,broken clouds
172,Antalaha,MG,2021-11-07 06:46:25,-14.9003,50.2788,84.72,55,14,11.34,few clouds
173,Pangnirtung,CA,2021-11-07 06:39:59,66.1451,-65.7125,26.6,50,75,4.61,broken clouds
174,Astana,KZ,2021-11-07 06:46:25,51.1801,71.446,28.35,54,0,11.18,clear sky
175,Labuhan,ID,2021-11-07 06:46:26,-6.8844,112.2051,88.95,58,98,9.95,overcast clouds
176,Pailon,BO,2021-11-07 06:46:27,-17.65,-62.75,63.5,64,99,8.43,overcast clouds
177,Thomasville,US,2021-11-07 06:46:27,35.8826,-80.082,49.89,70,100,1.01,overcast clouds
178,Klaksvik,FO,2021-11-07 06:37:28,62.2266,-6.589,45.52,95,100,29.39,overcast clouds
179,Nogales,MX,2021-11-07 06:46:28,31.3086,-110.9422,66.69,35,1,4.61,clear sky
180,Vila Velha,BR,2021-11-07 06:35:47,-20.3297,-40.2925,73.35,84,75,1.99,broken clouds
181,Chuy,UY,2021-11-07 06:37:42,-33.6971,-53.4616,52.27,82,15,4.18,few clouds
182,Srednekolymsk,RU,2021-11-07 06:38:23,67.45,153.6833,0.37,98,100,2.55,overcast clouds
183,Port Blair,IN,2021-11-07 06:38:34,11.6667,92.75,84.52,69,43,11.1,scattered clouds
184,Lata,PT,2021-11-07 06:38:20,40.1629,-8.3327,50.81,73,0,4.63,clear sky
185,Cidreira,BR,2021-11-07 06:38:12,-30.1811,-50.2056,62.51,70,37,6.89,scattered clouds
186,Ust-Nera,RU,2021-11-07 06:39:19,64.5667,143.2,-6.05,93,100,3.53,overcast clouds
187,Coquimbo,CL,2021-11-07 06:37:29,-29.9533,-71.3436,53.33,82,0,3.44,clear sky
188,Balkanabat,TM,2021-11-07 06:46:29,39.5108,54.3671,50.61,31,36,2.91,scattered clouds
189,Atherton,GB,2021-11-07 06:40:45,53.5237,-2.4935,50.7,71,100,5.99,overcast clouds
190,Dharchula,IN,2021-11-07 06:46:29,29.85,80.5333,72.0,27,4,6.33,clear sky
191,San Cristobal,VE,2021-11-07 06:39:38,7.7669,-72.225,64.33,90,93,2.04,overcast clouds
192,Charlestown,AU,2021-11-07 06:46:30,-32.95,151.6667,73.81,80,100,1.99,light rain
193,Mortka,RU,2021-11-07 06:46:30,59.3322,66.0214,36.34,85,100,14.83,overcast clouds
194,Kahului,US,2021-11-07 06:37:45,20.8947,-156.47,77.02,78,20,12.66,few clouds
195,Mehamn,NO,2021-11-07 06:38:13,71.0357,27.8492,32.09,75,100,15.39,light snow
196,Ossora,RU,2021-11-07 06:46:31,59.2353,163.0719,15.57,96,49,4.92,scattered clouds
197,Oyama,JP,2021-11-07 06:46:31,36.3,139.8,67.82,51,14,8.34,few clouds
198,Salalah,OM,2021-11-07 06:37:49,17.0151,54.0924,84.29,54,0,2.3,clear sky
199,College,US,2021-11-07 06:38:42,64.8569,-147.8028,26.55,90,90,0.0,light snow
200,Adrar,MR,2021-11-07 06:40:26,20.5022,-10.0711,65.14,33,8,6.87,clear sky
201,Avera,US,2021-11-07 06:40:23,33.194,-82.5271,51.67,60,100,14.58,overcast clouds
202,Diapaga,BF,2021-11-07 06:46:32,12.0708,1.7889,79.02,26,10,2.53,clear sky
203,Walvis Bay,NA,2021-11-07 06:46:32,-22.9575,14.5053,56.35,88,6,12.66,clear sky
204,Auki,SB,2021-11-07 06:46:32,-8.7676,160.7034,81.05,70,5,1.28,clear sky
205,Kununurra,AU,2021-11-07 06:39:13,-15.7667,128.7333,94.98,49,19,5.75,few clouds
206,Honningsvag,NO,2021-11-07 06:46:33,70.9821,25.9704,35.47,65,100,20.0,light rain
207,Amapa,BR,2021-11-07 06:46:33,1.0,-52.0,70.77,99,82,1.48,broken clouds
208,Essau,GM,2021-11-07 06:46:33,13.4839,-16.5347,77.16,57,93,12.82,overcast clouds
209,Nanakuli,US,2021-11-07 06:46:34,21.3906,-158.1547,78.75,64,1,5.75,clear sky
210,Cherskiy,RU,2021-11-07 06:39:28,68.75,161.3,-3.24,100,100,4.34,overcast clouds
211,Hithadhoo,MV,2021-11-07 06:37:40,-0.6,73.0833,82.92,70,79,14.63,broken clouds
212,Saint-Joseph,RE,2021-11-07 06:46:34,-21.3667,55.6167,81.21,74,24,9.4,few clouds
213,Broome,US,2021-11-07 06:38:49,42.2506,-75.833,36.99,74,5,2.64,clear sky
214,Guerrero Negro,MX,2021-11-07 06:38:55,27.9769,-114.0611,64.74,89,90,9.46,overcast clouds
215,Horconcitos,PA,2021-11-07 06:46:35,8.4682,-81.8007,65.08,94,33,4.03,scattered clouds
216,Umm Lajj,SA,2021-11-07 06:46:35,25.0213,37.2685,84.74,33,0,5.79,clear sky
217,Lyngdal,NO,2021-11-07 06:46:36,58.1376,7.07,50.0,80,100,16.08,overcast clouds
218,Chaihe,CN,2021-11-07 06:46:36,44.7667,129.7,30.74,82,100,4.56,light snow
219,Bima,ID,2021-11-07 06:46:36,-8.4667,118.7167,88.77,65,100,3.91,overcast clouds
220,Misratah,LY,2021-11-07 06:46:36,32.3754,15.0925,74.21,42,100,11.56,overcast clouds
221,Chokurdakh,RU,2021-11-07 06:37:32,70.6333,147.9167,-12.24,96,50,7.81,scattered clouds
222,Port Lincoln,AU,2021-11-07 06:37:56,-34.7333,135.8667,59.58,58,64,15.61,broken clouds
